Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-10-21 16:00:00-04:00,0.45,,
2026-07-22 16:00:00-04:00,0.54,0.33,-39.15
2026-04-22 16:00:00-04:00,0.35,0.41,17.15
2026-01-28 16:00:00-05:00,0.45,0.5,10.96
2025-10-22 16:00:00-04:00,0.56,0.5,-10.53
2025-07-23 16:00:00-04:00,0.4,0.4,-1.11
2025-04-22 16:00:00-04:00,0.41,0.27,-34.89
2025-01-29 16:00:00-05:00,0.77,0.73,-5.11
2024-10-23 16:00:00-04:00,0.6,0.72,20.49
2024-07-23 20:00:00-04:00,0.62,0.52,-16.15
2024-04-23 16:00:00-04:00,0.49,0.45,-8.14
2024-01-24 16:00:00-05:00,0.74,0.71,-3.5
2023-10-18 16:00:00-04:00,0.73,0.66,-9.81
2023-07-19 16:00:00-04:00,0.82,0.91,11.12
2023-04-19 16:00:00-04:00,0.85,0.85,-0.43
2023-01-25 16:00:00-05:00,1.11,1.19,7.2
2022-10-19 17:00:00-04:00,1.0,1.05,5.23
2022-07-20 17:00:00-04:00,0.6,0.76,26.89
2022-04-20 16:00:00-04:00,0.75,1.07,42.31
2022-01-26 16:00:00-05:00,0.79,0.85,6.88
2021-10-20 15:00:00-04:00,0.54,0.62,15.22
2021-07-26 16:00:00-04:00,0.32,0.48,49.86
2021-04-26 16:00:00-04:00,0.26,0.31,19.42
2021-01-27 16:00:00-05:00,0.35,0.27,-23.91
2020-10-21 18:00:00-04:00,0.2,0.25,25.78
